product_id,category_id,store_id,name,product_slug,brand,model,description,manufacturer,thumbnail_image,rating,price,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,1,2,Core Innovations Low Profile TV Mount 23-65,Core Innovations Low Profile TV Mount 23-65,Core Innovations,Core Innovations,"['Fits TVs 23 - 65 weighing up to 77 lb.', 'Slim profile + lift and hook easy installation', 'VESA mounting: 75x75 - 400x400', 'Tested and certified in accordance with UL Standard 2442. This product has been tested to hold four times its maximum load capacity.', 'Includes a drilling template and all mounting hardware']",Core Innovations,https://target.scene7.com/is/image/Target/GUEST_6a07fc77-5ba2-4fe0-9f75-ddd3717184f2,4.68,17.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,1,2,LG 50 Class 4K UHD Smart LED TV - 50UQ7570PUJ,LG 50 Class 4K UHD Smart LED TV - 50UQ7570PUJ,LG Electronics,LG Electronics,"['Real 4K Display w/ 4K UHD Resolution', 'A5 Gen 5 AI Processor 4K: 4K Upscaling & AI Sound', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'WebOS 22: Netflix, Prime Video, the Apple TV app, Disney+, HBO Max & more', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer, HGIG & ALLM', 'Works with Google Assistant, Amazon Alexa, Apple Airplay 2 & Homekit (separate device purchase necessary)']",LG Electronics,https://target.scene7.com/is/image/Target/GUEST_fb8f6716-b64d-4883-9a6f-6e9942a8510b,4.49,299.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,1,2,Samsung 43 Smart 4K Crystal HDR UHD TV TU7000 Series - Titan Gray,Samsung 43 Smart 4K Crystal HDR UHD TV TU7000 Series - Titan Gray,Samsung,Samsung,"['Crystal Processor 4K - This ultra-fast processor transforms everything you watch into stunning 4K.', 'Smart TV Powered by Tizen - Go beyond Smart TV with next-gen apps, super-easy control and a host of enhancements that elevate the TV-watching experience.', HDR - unveils shaded of color you can't find on HDTV.""", 'Crystal Display - Experience crystal-clear colors that are fine-tuned to deliver a naturally crisp and vivid picture.', 'Universal Guide - One simple on-screen guide organizes your streaming and live TV content, while also making recommendations.', 'Game Enhancer - The TV automatically adjusts settings to help games run smoothly.'," 'Boundless Design - An ultra-thin bezel on all sides for a stunningly clean look.']""",Samsung,https://target.scene7.com/is/image/Target/GUEST_4e327478-bf8d-4c8f-a90a-7c561597896c,4.51,279.99,,,,,,,,,,,,,,,,,,,,,,
680,1,2,LG 55 Class 4K UHD Smart LED TV - 55UQ7570PUJ,LG 55 Class 4K UHD Smart LED TV - 55UQ7570PUJ,LG Electronics,LG Electronics,"['Real 4K Display w/ 4K UHD Resolution', 'a5 Gen 5 AI Processor 4K: 4K Upscaling & AI Sound', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'webOS 22: Netflix, Prime Video, the Apple TV app, Disney+, HBO Max & more', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer, HGIG & ALLM', 'Works with Google Assistant, Amazon Alexa, Apple Airplay 2 & Homekit (seperate device purchase necessary)']",LG Electronics,https://target.scene7.com/is/image/Target/GUEST_b314cad2-f9a0-4f83-99cb-5ef87d27b873,4.16,349.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,1,2,Amazon Fire TV Stick with 4K Ultra HD Streaming Media Player and Alexa Voice Remote (2nd Generation),Amazon Fire TV Stick with 4K Ultra HD Streaming Media Player and Alexa Voice Remote (2nd Generation),Amazon,Amazon,"['Cinematic experience - Watch in vibrant 4K Ultra HD with support for Dolby Vision, HDR, and HDR10+.', 'Home theater audio with Dolby Atmos - Feel scenes come to life with support for immersive Dolby Atmos audio on select titles with compatible home audio systems', 'Endless entertainment - Stream more than 1 million movies and TV episodes from Netflix, Prime Video, Disney+, Peacock, and more, plus listen to millions of songs. Subscription fees may apply.', 'Live and free TV - Watch live TV, news, and sport with subscriptions to SLING TV, YouTube TV, and others. Stream for free with Pluto TV, IMDb TV, YouTube and more.', 'Alexa Voice Remote - Search and launch content with your voice. Get to favorite apps quickly with preset buttons. Control power and volume with one remote.', 'Control your smart home - Ask Alexa to check weather, dim the lights, view live camera feeds, stream music and more.', 'Simple and intuitive - Quickly access your favorite apps, live TV, and things you use most, all from the main menu.', 'Easy to set up, compact enough to stay hidden - Plug in behind your TV, turn on the TV, and connect to the internet to get set up']",Amazon,https://target.scene7.com/is/image/Target/GUEST_62518b81-d44c-4fa3-9577-990b1be8d159,4.68,24.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,1,2,TCL 50 4k UHD HDR Smart Roku TV- 50S455,TCL 50 4k UHD HDR Smart Roku TV- 50S455,TCL,TCL,"['Stream free TV, live news, sports, movies, and more', 'Easy Voice Control works with Siri, Alexa and Hey Google', 'Share videos, photos, and music from your Apple device using AirPlay', 'Works seamlessly with Alto Sound Bars featuring Roku TV ReadyTM', 'Dual-band WiFi & Ethernet port', '4 HDMI inputs (1 ARC)']",TCL,https://target.scene7.com/is/image/Target/GUEST_bbed77ae-63c0-47b0-90ae-355015af0526,4.43,269.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,1,2,TCL 32 Class 3-Series HD 720p LED Smart Roku TV &#8211; 32S355,TCL 32 Class 3-Series HD 720p LED Smart Roku TV &#8211; 32S355,TCL,TCL,"['Stream free TV, live news, sports, movies, and more', 'Easy Voice Control works with Siri, Alexa and Hey Google', 'Share videos, photos, and music from your Apple device using AirPlay', 'Works seamlessly with Alto Sound Bars featuring Roku TV ReadyTM', 'Dual-band WiFi & Ethernet port', '4 HDMI inputs (1 ARC)']",TCL,https://target.scene7.com/is/image/Target/GUEST_9cb8c3a4-587c-4521-a3de-e3cb30a2676e,4.53,139.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,1,2,VIZIO V-Series 2.0 Home Theater Sound Bar - V20XT-K6,VIZIO V-Series 2.0 Home Theater Sound Bar - V20XT-K6,VIZIO,VIZIO,"['Your TV craves an audio upgrade. - Treat yourself  and your TV  to better audio with 2 full-range speakers built into a low-profile sound bar that delivers 93dB of high-quality, room-filling sound. Upgrade your audio. Your TV will thank you.', 'Hear. Every. Word. - No need to turn it up. And down. And up again. Dialogue EQ Mode makes it easy to understand what people are saying without you having to constantly reach for the remote.', 'Its psychoacoustics, but you can call it magic. - An optical illusion for your ears, DTS Virtual:X technology delivers the sensation of speakers placed throughout your room, above and behind you, for a sonic landscape thats remarkably lifelike.', 'This bar fits right in. - At just 30 inches in width, the low-profile sound bar pairs perfectly with small- to medium-sized televisions.', 'One-wire simplicity. - Enjoy high-quality Dolby Audio from your television with the simplicity of a single optical digital audio connection. We even include the cable in the box to further simplify your life.', 'Pair. Connect. Stream. Bliss. - Wirelessly stream your favorite music, podcasts, audiobooks and more directly to your sound bar from a compatible mobile device using the included Bluetooth functionality. Its the Bluetooth you know and love, only better, because it sounds fantastic.', 'Alexa. Google. Siri. Youre free to choose. - Connect your preferred voice assistant via the 3.5mm input (or Bluetooth) to amplify your favorite household companion. The input is always active and ready for a command and will automatically lower the volume of your content so you can hear voice feedback clearly.', 'Control. Its in your hands now. - Take control with the included full-featured remote. Its comfortable in the hand, easy to navigate through setup, and adjustment to sound levels and audio modes is a breeze.']",VIZIO,https://target.scene7.com/is/image/Target/GUEST_acf88101-e026-4243-8499-10d9904bc98e,4.38,59.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,1,2,Samsung 65 Smart 4K UHD TV (UN65AU8000) - Black,Samsung 65 Smart 4K UHD TV (UN65AU8000) - Black,Samsung,Samsung,[Dynamic Crystal Color - Witness true-to-life color that can't be found on HDTV," with millions of shades revealed through powerful Dynamic Crystal technology."""," ""Crystal Processor 4K - See every detail with stunning clarity. The powerful processor", specifically tuned for Crystal Displays," converts what you're watching to 4K.""", 'Smart TV with Multiple Voice Assistants - Access a world of content beyond streaming. Schedule recordings, search, auto-adjust game settings, seamlessly connect with a host of compatible devices across your home, and control your TV with your voice, all with one easy-to-use remote.', '3 HDMI Ports - Connect up to 3 devices with HDMI.', 'HDR - Enjoy a whole new world of vivid color and detail found in newer films and streaming service content with HDR, also known as High Dynamic Range.'," ""Motion Xcelerator - Never miss a beat with minimized blur and enhanced motion clarity"," and catch all the fast-moving action whether you're watching sports or taking advantage of newer gaming capabilities.""", 'AirSlim - Elevate your space with a TV so slim, so expansive, and so powerful it defies logic.', 'Universal Guide - Find your favorite movies and TV shows easily all in one place, with a simple on-screen guide that provides you with tailored recommendations for exploring new content.', 'PC on TV - Easily access your compatible PC, laptop, and mobile content seamlessly on your TV*.'," ""Disclaimer: *Available on PC's with Window 10 OS or higher.""]""",Samsung,https://target.scene7.com/is/image/Target/GUEST_e7be4481-5435-49f5-b5ca-04d7ae6634df,4.63,549.99,,,
686,1,2,TCL 40 Class 3-Series Full HD 1080p LED Smart Roku &#8211; 40S355,TCL 40 Class 3-Series Full HD 1080p LED Smart Roku &#8211; 40S355,TCL,TCL,"['Stream free TV, live news, sports, movies, and more', 'Easy Voice Control works with Siri, Alexa and Hey Google', 'Share videos, photos, and music from your Apple device using AirPlay', 'Works seamlessly with Alto Sound Bars featuring Roku TV ReadyTM', 'Dual-band WiFi & Ethernet port', '4 HDMI inputs (1 ARC)']",TCL,https://target.scene7.com/is/image/Target/GUEST_e224fdf7-6da4-4b4b-ad73-0e7bb037fd11,4.2,199.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,1,2,LG 43 Class 4K UHD Smart LED TV - 43UQ7590PUB,LG 43 Class 4K UHD Smart LED TV - 43UQ7590PUB,LG Electronics,LG Electronics,"['Real 4K Display w/ 4K UHD Resolution', 'a5 Gen 5 AI Processor 4K: 4K Upscaling & AI Sound', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'webOS 22: Netflix, Prime Video, the Apple TV app, Disney+, HBO Max & more', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer, HGIG & ALLM', 'Works with Google Assistant, Amazon Alexa, Apple Airplay 2 & Homekit (separate device purchase necessary)']",LG Electronics,https://target.scene7.com/is/image/Target/GUEST_8e9b9490-55ef-4702-9da2-629e45d6bc14,4.25,249.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,1,2,VIZIO V-Series 43 Class 4K HDR Smart TV - V435-J01,VIZIO V-Series 43 Class 4K HDR Smart TV - V435-J01,VIZIO,VIZIO,"['4K Ultra HD - Over 8 million pixels for breathtaking detail. 4 times the resolution of 1080p!', Full Array Backlight  LEDs are evenly distributed across the screen's backlight for superior light uniformity and picture performance.""", 'SmartCast -  Instant access to the best selection of apps from top-tier streaming services, and over 250 free channels on WatchFree+.  You can even pair your favorite Bluetooth headphones and hear every word - uninterrupted.', 'Apple AirPlay 2 and Chromecast Built-In - Stream, control, mirror and share your content from your Apple or Android devices directly to the TV.'," ""What's Included - VIZIO Voice Remote with batteries", Power Cable," Quick Start Guide and User Manual.""", '3 HDMI 2.1 Ports - Offers the highest video performance for 4K entertainment devices, superior audio quality with eARC for high bit-rate audio pass-through for Dolby Atmos and DTS:X.', 'V-Gaming Engine - Automatically makes the latest console gameplay more responsive with auto game mode, fast response, low lag, and newly-added gaming menu.', 'Dolby Vision Bright Mode - See even more lifelike accuracy, color saturation, black detail," and brightness thanks to color pixel tuning that ramps up depth and detail to new heights. V-Series also supports HDR10/+ and HLG formats.']""",VIZIO,https://target.scene7.com/is/image/Target/GUEST_535552e9-d782-4006-bb8f-859bd84f5fd4,4.63,249.99,,,,,,,,,
689,1,2,Amazon Fire TV Stick with Alexa Voice Remote (includes TV controls) | Dolby Atmos audio | 2020 Release,Amazon Fire TV Stick with Alexa Voice Remote (includes TV controls) | Dolby Atmos audio | 2020 Release,Amazon,Amazon,"['Latest generation of our best-selling Fire TV device - 50% more powerful than the 2nd generation for fast streaming in Full HD. Includes Alexa Voice Remote with power and volume buttons.', 'Less clutter, more control - Alexa Voice Remote lets you use your voice to search and launch shows across apps. All-new preset buttons get you to favorite apps quickly. Plus, control power and volume on your TV and soundbar with a single remote.', 'Endless entertainment - Stream more than 1 million movies and TV episodes from Netflix", Prime Video, Disney+, Peacock, and more, plus listen to millions of songs. Subscription fees may apply.', 'Easy to set up, stays hidden - Plug in behind your TV, turn on the TV, and connect to the internet to get set up.'," ""Live TV - Watch your favorite live TV", news, and sports with subscriptions to SLING TV, YouTube TV," and others. Use the Guide button to see what's available and when.""", 'Free TV - Access over 200,000 free movies and TV episodes from popular ad-supported streaming apps like IMDb TV, Tubi, Pluto TV and more.', 'Listen to music - Stream on Amazon Music, Spotify, Pandora, and others. Subscription fees may apply.'," ""Certified for Humans - Struggle-free", tinker-free," and stress-free. No patience neededit's actually simple.""]""",Amazon,https://target.scene7.com/is/image/Target/GUEST_8d324b86-4935-4ee1-81ef-8e0da3c45e31,4.66,19.99,,
690,1,2,Samsung 50 Smart 4K UHD TV (UN50AU8000) - Black,Samsung 50 Smart 4K UHD TV (UN50AU8000) - Black,Samsung,Samsung,[Dynamic Crystal Color - Witness true-to-life color that can't be found on HDTV," with millions of shades revealed through powerful Dynamic Crystal technology."""," ""Crystal Processor 4K - See every detail with stunning clarity. The powerful processor", specifically tuned for Crystal Displays," converts what you're watching to 4K.""", 'Smart TV with Multiple Voice Assistants - Access a world of content beyond streaming. Schedule recordings, search, auto-adjust game settings, seamlessly connect with a host of compatible devices across your home, and control your TV with your voice, all with one easy-to-use remote.', '3 HDMI Ports - Connect up to 3 devices with HDMI.', 'HDR - Enjoy a whole new world of vivid color and detail found in newer films and streaming service content with HDR, also known as High Dynamic Range.'," ""Motion Xcelerator - Never miss a beat with minimized blur and enhanced motion clarity"," and catch all the fast-moving action whether you're watching sports or taking advantage of newer gaming capabilities.""", 'AirSlim - Elevate your space with a TV so slim, so expansive, and so powerful it defies logic.', 'Universal Guide - Find your favorite movies and TV shows easily all in one place, with a simple on-screen guide that provides you with tailored recommendations for exploring new content.', 'PC on TV - Easily access your compatible PC, laptop, and mobile content seamlessly on your TV*.'," ""Disclaimer: *Available on PC's with Window 10 OS or higher.""]""",Samsung,https://target.scene7.com/is/image/Target/GUEST_1fa7aece-f14e-45e8-b36e-ddedcb886f6e,4.62,399.99,,,
691,1,2,Samsung 2.0 Ch Soundbar with Built-in Woofer - Black (HW-T400),Samsung 2.0 Ch Soundbar with Built-in Woofer - Black (HW-T400),Samsung,Samsung,[Dolby Audio / DTS 2.0 Channel - Dolby Audio & DTS turns your living room into a theater, creating a rich surround sound experience. Feel like you're part of the scene with sharp," realistic sound.""", 'Surround sound expansion - Enjoy an expanded surround sound experience from sideways and upward firing speakers for more enveloping sound.', 'Built-in woofer - Intense bass, without a separate woofer. The all-in-one soundbar comes equipped with two built-in woofers and a sound duct, which intensifies the bass by using air vibration.  *Compatible mobile device only.', 'Multi-Connection', 'Bluetooth® Connection - Connect via Bluetooth and enjoy your favorite content without unsightly cables.', 'Streaming music via Bluetooth - Connect your devices via Bluetooth for a rich audio experience.', 'USB music playback - Enjoy playing music anytime with an integrated USB 2.0 port that allows you to plug in your memory device, select your music list and hit play.', '* Please check whether your TV is Bluetooth® compatible.', '* Compatible mobile device only.', 'Near Field Connection (NFC) - Listen to your favorite music through the soundbar by placing your smartphone over the Near Field Communication (NFC) symbol to initiate connectivity.', 'Samsung OneRemote - One remote is all you need. Control key soundbar functions like power, volume," and even sound effects with the Samsung TV remote.']""",Samsung,https://target.scene7.com/is/image/Target/GUEST_31bd19a2-b30c-48f4-ad68-d95ce4f1f0fc,4.05,69.99,,,,,,,,,,
692,1,2,VIZIO D-Series 40 Class 1080p Full-Array LED HD Smart TV - D40f-J09,VIZIO D-Series 40 Class 1080p Full-Array LED HD Smart TV - D40f-J09,VIZIO,VIZIO,"['1080p High-Definition - Watch TV in crisp, clear 1080p Full HD resolution.', 'Full Array LED Backlight - Evenly distributed LEDs across the screens backlight deliver superior light uniformity and picture performance.', 'SmartCast - Instant access to the best selection of apps from top-tier streaming services, and over 250 free channels on WatchFree+.', 'Apple AirPlay 2 and Chromecast Built-In - Stream, control, mirror and share your content from your Apple or Android devices directly to the TV.', What's Included - VIZIO Smart TV Remote with batteries"," Quick Start Guide and User Manual.""", '2 HDMI Ports - High-speed HDMI connectivity offers better video performance as well as Dolby Atmos and DTS:X passthrough for a more immersive audio experience.', 'V-Gaming Engine - Automatically optimizes picture mode for gaming and makes next-gen console gameplay more responsive with Auto Game Mode, Variable Refresh Rate with AMD FreeSync, D-Series lowest input lag, and newly-added gaming menu.', 'IQ Picture Processor -  Delivers superior picture processing, faster navigation," and quicker load times.']""",VIZIO,https://target.scene7.com/is/image/Target/GUEST_a8795cbe-731f-466d-b8da-73415d588b03,4.32,199.99,,,,,,,,,,,,,,,,,,
